combination,country,correction_bnusd_per_mha
cotton_wheat,AFG,-1.6016085147857666
cotton_wheat,AGO,-1.9636707305908203
cotton_wheat,ALB,7.5
cotton_wheat,ARG,7.5
cotton_wheat,ARM,7.5
cotton_wheat,AUS,-6.347338676452637
cotton_wheat,AZE,7.5
cotton_wheat,BDI,-1.0001932382583618
cotton_wheat,BGD,-1.6351697444915771
cotton_wheat,BGR,7.5
cotton_wheat,BOL,7.5
cotton_wheat,BRA,-2.795017957687378
cotton_wheat,BWA,-1.389197826385498
cotton_wheat,CHN,-6.734447956085205
cotton_wheat,COD,-1.943974256515503
cotton_wheat,DZA,7.5
cotton_wheat,EGY,-3.046511173248291
cotton_wheat,ESP,-1.8644442558288574
cotton_wheat,ETH,-2.5176395177841187
cotton_wheat,GEO,7.5
cotton_wheat,GRC,-2.5224956274032593
cotton_wheat,HND,-2.0235610008239746
cotton_wheat,IND,-1.663497805595398
cotton_wheat,IRN,-2.413421869277954
cotton_wheat,IRQ,-1.8790355920791626
cotton_wheat,ISR,-0.5844569504261017
cotton_wheat,JOR,-2.261714220046997
cotton_wheat,KAZ,-2.105399250984192
cotton_wheat,KEN,-0.7825355529785156
cotton_wheat,KGZ,-1.4670000076293945
cotton_wheat,KOR,7.5
cotton_wheat,LBN,7.5
cotton_wheat,LSO,3.2752625644207
cotton_wheat,MAR,-3.012405753135681
cotton_wheat,MDG,-1.7472525835037231
cotton_wheat,MEX,-3.5203187465667725
cotton_wheat,MKD,-1.780644416809082
cotton_wheat,MMR,7.5
cotton_wheat,MOZ,-1.4387832283973694
cotton_wheat,MWI,2.7791829705238342
cotton_wheat,NAM,-2.076709508895874
cotton_wheat,NER,-0.8645138144493103
cotton_wheat,NGA,-1.9162575006484985
cotton_wheat,NPL,7.5
cotton_wheat,OMN,-0.0
cotton_wheat,PAK,-1.3370583057403564
cotton_wheat,PRT,7.5
cotton_wheat,PRY,-0.814936101436615
cotton_wheat,PSE,-1.8815619945526123
