combination,country,correction_bnusd_per_mha
cotton_wheat,AFG,-1.5927236080169678
cotton_wheat,AGO,-1.9337581396102905
cotton_wheat,ALB,7.5
cotton_wheat,ARG,7.5
cotton_wheat,ARM,7.5
cotton_wheat,AUS,-6.242731809616089
cotton_wheat,AZE,7.5
cotton_wheat,BDI,-0.9871918559074402
cotton_wheat,BGD,-1.534177005290985
cotton_wheat,BGR,7.5
cotton_wheat,BOL,7.5
cotton_wheat,BRA,-2.6939632892608643
cotton_wheat,BWA,-1.3231643438339233
cotton_wheat,CHN,-6.612751007080078
cotton_wheat,COD,-1.9223291873931885
cotton_wheat,DZA,7.5
cotton_wheat,EGY,-2.767568826675415
cotton_wheat,ESP,-1.7561184763908386
cotton_wheat,ETH,-2.117214798927307
cotton_wheat,GEO,7.5
cotton_wheat,GRC,-2.2709689140319824
cotton_wheat,HND,-1.9976805448532104
cotton_wheat,IND,-1.5435030460357666
cotton_wheat,IRN,-2.3831645250320435
cotton_wheat,IRQ,-1.8188846111297607
cotton_wheat,ISR,-0.583361029624939
cotton_wheat,JOR,-2.195621132850647
cotton_wheat,KAZ,-2.069269299507141
cotton_wheat,KEN,-0.7512478828430176
cotton_wheat,KGZ,-1.4307011365890503
cotton_wheat,KOR,7.5
cotton_wheat,LBN,7.5
cotton_wheat,LSO,3.307736039161682
cotton_wheat,MAR,-2.9455323219299316
cotton_wheat,MDG,-1.7016127109527588
cotton_wheat,MEX,-3.390718936920166
cotton_wheat,MKD,-1.731279969215393
cotton_wheat,MMR,7.5
cotton_wheat,MOZ,-1.383345603942871
cotton_wheat,MWI,2.7875921726226807
cotton_wheat,NAM,-1.9929966926574707
cotton_wheat,NER,-0.795464962720871
cotton_wheat,NGA,-1.8842791318893433
cotton_wheat,NPL,7.5
cotton_wheat,OMN,-0.0
cotton_wheat,PAK,-1.3193728923797607
cotton_wheat,PRT,7.5
cotton_wheat,PRY,-0.7623048722743988
cotton_wheat,PSE,-1.8203025460243225
cotton_wheat,ROU,-0.0
cotton_wheat,RUS,7.5
cotton_wheat,RWA,-1.5891630053520203
cotton_wheat,SDN,-1.7169711589813232
cotton_wheat,SOM,2.795064091682434
cotton_wheat,SWZ,-1.7710586786270142
cotton_wheat,SYR,-1.432285189628601
cotton_wheat,TJK,-3.2881886959075928
cotton_wheat,TKM,-1.6561976671218872
cotton_wheat,TUN,7.5
cotton_wheat,TUR,-0.9880382418632507
cotton_wheat,TZA,-1.4977788925170898
cotton_wheat,UGA,-1.763108491897583
cotton_wheat,URY,7.5
cotton_wheat,USA,-1.4581074714660645
cotton_wheat,UZB,-1.7531643509864807
cotton_wheat,YEM,-2.3453104496002197
cotton_wheat,ZAF,-2.8740453720092773
cotton_wheat,ZMB,7.5
cotton_wheat,ZWE,3.7642102241516113
double_rice,AFG,7.5
double_rice,AGO,7.5
double_rice,ALB,-0.0
double_rice,ARG,7.5
double_rice,AUS,7.5
double_rice,AZE,7.5
double_rice,BDI,3.46013343334198
double_rice,BEN,-2.2166402339935303
double_rice,BFA,-2.23768150806427
double_rice,BGD,-0.7278321385383606
double_rice,BLZ,2.154790997505188
double_rice,BOL,7.5
double_rice,BRA,7.5
double_rice,BRN,-2.9397683143615723
double_rice,BTN,7.5
double_rice,BWA,-0.0
double_rice,CAF,7.5
double_rice,CHL,7.5
double_rice,CHN,-3.6336244344711304
double_rice,CIV,7.5
double_rice,CMR,-2.1459217071533203
double_rice,COD,7.5
double_rice,COG,7.5
double_rice,COL,-2.7271934747695923
double_rice,CRI,-1.8571616411209106
double_rice,CUB,7.5
double_rice,DOM,2.0781034231185913
double_rice,DZA,7.5
double_rice,ECU,-1.2515701651573181
double_rice,EGY,7.5
double_rice,ERI,7.5
double_rice,ESP,7.5
double_rice,ETH,7.5
double_rice,FJI,7.5
double_rice,FRA,7.5
double_rice,GAB,7.5
double_rice,GEO,7.5
double_rice,GHA,-0.8532624244689941
double_rice,GIN,-1.1334679126739502
double_rice,GMB,-0.05453077703714371
double_rice,GNB,-2.5362197160720825
double_rice,GNQ,7.5
double_rice,GRC,7.5
double_rice,GTM,2.2990827560424805
double_rice,GUF,7.5
double_rice,GUY,7.5
double_rice,HND,7.5
double_rice,HTI,2.4523184299468994
double_rice,IDN,-2.7687764167785645
double_rice,IND,-1.3916572332382202
double_rice,IRN,7.5
double_rice,IRQ,7.5
double_rice,ITA,7.5
double_rice,JPN,-7.0613017082214355
